u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,junction,access,width,ref
246140935,7780959372,0,"[833516929, 32758333]",True,1,"['Piazza del Colosseo', 'Via Labicana']",secondary,"['50', '30']",False,46.809,"LINESTRING (12.494228 41.8901468, 12.4942449 41.8901553, 12.4942595 41.8901638, 12.4942766 41.8901794, 12.4942899 41.8901937, 12.4943013 41.890214, 12.4943243 41.8902686, 12.4943524 41.8903337, 12.4943672 41.8903592, 12.4943873 41.8903879, 12.4944041 41.8904044, 12.4944257 41.8904183, 12.4944505 41.8904293, 12.4944793 41.8904401, 12.4945011 41.890446, 12.4945219 41.89045, 12.4945373 41.8904518, 12.4945565 41.8904535)",,,,,,
246140935,101005837,0,"[201007336, 993231732]",True,1,Via di San Giovanni in Laterano,residential,,False,110.061,"LINESTRING (12.494228 41.8901468, 12.4943666 41.8900999, 12.4943887 41.8900928, 12.4954411 41.8897416)",,,,,,
246141797,255250999,0,"[50602468, 190525597]",False,,"['Via del Fagutale', 'Piazza di San Francesco di Paola']",residential,,True,293.669,"LINESTRING (12.492085 41.8941888, 12.4913048 41.8940119, 12.4912805 41.894004, 12.4912558 41.8939908, 12.4912378 41.8939725, 12.49123 41.8939539, 12.4912288 41.8939304, 12.4912325 41.8939131, 12.4919957 41.8920913)",,,,,,
246142109,2959672888,0,"[290266289, 22885714]",True,2,Via degli Annibaldi,secondary,50,False,292.765,"LINESTRING (12.4910066 41.8941007, 12.4910375 41.8940213, 12.4910732 41.8939348, 12.49122 41.8935792, 12.4915336 41.8927578, 12.4916181 41.8925414, 12.4917294 41.892264, 12.4918695 41.8919146, 12.4919494 41.8917032, 12.4919852 41.8916232, 12.4920092 41.8915761)",,,,,,
246142109,25418929,0,"[232183086, 122185766]",False,4,Via Cavour,secondary,50,False,195.755,"LINESTRING (12.4910066 41.8941007, 12.4911148 41.8941275, 12.4911554 41.8941364, 12.4921494 41.894392, 12.4931284 41.8946368, 12.4932459 41.8946669)",,,,,,
246142109,2959672897,0,292411182,True,1,Via Cavour,residential,50,False,48.337,"LINESTRING (12.4910066 41.8941007, 12.4909063 41.8940974, 12.4908834 41.8940947, 12.4908565 41.8940903, 12.4907987 41.8940767, 12.4907718 41.8940683, 12.4907463 41.894059, 12.4904633 41.8939566)",,,,,,
246144858,255250786,0,"[27411792, 23569661]",True,1,"['Via Eudossiana', 'Largo della Polveriera']",residential,,False,108.12,"LINESTRING (12.4929213 41.8926775, 12.4930657 41.8927801, 12.4930613 41.8928201, 12.4930367 41.8928683, 12.4929984 41.8929321, 12.4925658 41.8935107)",,,,,6,
246144858,2001545075,0,189558682,True,1,Via della Polveriera,residential,,False,93.167,"LINESTRING (12.4929213 41.8926775, 12.4921177 41.8921629, 12.4920955 41.892117)",,,,,,
246144912,246144918,0,22885885,False,2,Viale del Monte Oppio,residential,30,False,388.484,"LINESTRING (12.4934427 41.8923166, 12.4935869 41.8922687, 12.4936827 41.8922407, 12.4937775 41.8922147, 12.4938769 41.8921904, 12.4940546 41.8921495, 12.4942304 41.8921153, 12.4943045 41.8921024, 12.4943714 41.8920926, 12.4944546 41.8920844, 12.4945306 41.8920793, 12.4945665 41.8920783, 12.4946179 41.8920783, 12.4946668 41.8920787, 12.4947142 41.8920814, 12.4947591 41.8920846, 12.494846 41.8920939, 12.4949022 41.8921028, 12.4949755 41.8921178, 12.4950464 41.8921335, 12.4951103 41.8921498, 12.4951717 41.8921669, 12.4952495 41.8921903, 12.4953236 41.8922155, 12.4953837 41.8922397, 12.4954401 41.8922658, 12.4954828 41.8922876, 12.4957313 41.8924411, 12.4957853 41.8924741, 12.4959241 41.8925601, 12.4966728 41.8930512, 12.4969222 41.8932144, 12.4973237 41.8934864, 12.4973971 41.8935362)",,,,,,
246144912,246144858,0,27411788,True,2,Largo della Polveriera,residential,,False,59.134,"LINESTRING (12.4934427 41.8923166, 12.4933286 41.8923852, 12.4931187 41.8925113, 12.4929213 41.8926775)",,,,,,
246144918,255250019,0,23568621,False,2,Via delle Terme di Traiano,unclassified,,True,29.059,"LINESTRING (12.4973971 41.8935362, 12.4971658 41.8937328)",,,,,,
