osmid,y,x,node_id
1723739183,37.7729613,-122.4219198,8281
1723739199,37.7735371,-122.4212375,8282
1723739241,37.7903123,-122.4000967,8283
1723739359,37.7907125,-122.3995964,8284
1723739366,37.7787205,-122.4147639,8285
1723739367,37.7730868,-122.4220699,8286
1723739386,37.7751635,-122.4191759,8287
1723768769,37.7936638,-122.39648,8288
1723768799,37.7936868,-122.3963524,8289
1728581574,37.7529034,-122.3876796,8290
1728581633,37.7502118,-122.3874759,8291
1735947581,37.7311237,-122.4586251,8292
1735947596,37.7334008,-122.4658651,8293
1735947610,37.7308697,-122.4584033,8294
1735954074,37.7331932,-122.4713535,8295
1735954082,37.7332814,-122.4713479,8296
1735964548,37.7320334,-122.4641571,8297
1735964587,37.7315512,-122.4637794,8298
1735964588,37.7304114,-122.460528,8299
1735964624,37.7300043,-122.4615316,8300
1735964627,37.7307897,-122.4592449,8301
1735964697,37.7307771,-122.4585531,8302
1735964731,37.7322662,-122.4644577,8303
1735964741,37.7299931,-122.4617315,8304
1735964759,37.7324689,-122.4647377,8305
1735964783,37.7308128,-122.4581839,8306
1735964808,37.7307979,-122.4583009,8307
1735978667,37.7157364,-122.4560959,8308
1735978728,37.7158223,-122.4560967,8309
1735998417,37.7314444,-122.45489,8310
1735998418,37.7315003,-122.4535917,8311
1735998435,37.7314968,-122.4534308,8312
1735998439,37.7313353,-122.4557534,8313
1735998442,37.731169,-122.4566069,8314
1736047959,37.8038891,-122.4492892,8315
1736656377,37.7705085,-122.4954804,8316
1767172817,37.8008172,-122.4595483,8317
1767172818,37.8012737,-122.4602367,8318
1767172819,37.8010025,-122.4599365,8319
1769694141,37.7927601,-122.4536509,8320
1769694274,37.7943961,-122.4563604,8321
1777579525,37.7259515,-122.4666177,8322
1777579938,37.7259336,-122.4711963,8323
1777579942,37.7257186,-122.4707696,8324
1777583588,37.7257315,-122.4687632,8325
1792772843,37.8033354,-122.4542059,8326
1792772846,37.8015737,-122.4600266,8327
1792772854,37.8027974,-122.4522957,8328
1792772911,37.8036209,-122.4518572,8329
1792772938,37.8028872,-122.4527645,8330
1792772975,37.802042,-122.4586183,8331
1792772981,37.8034439,-122.4514178,8332
1792772984,37.8026165,-122.467108,8333
1792813400,37.8132014,-122.361562,8334
1809551380,37.7339649,-122.4944159,8335
1809552695,37.7351016,-122.4940386,8336
1809552699,37.7351145,-122.4938855,8337
1815483625,37.7103102,-122.4605572,8338
1815483661,37.711533,-122.4634624,8339
1837300277,37.7893091,-122.4729009,8340
1921689670,37.7455536,-122.4151986,8341
1921696316,37.7420725,-122.4188829,8342
1935652917,37.7351151,-122.4111485,8343
1970807574,37.7146565,-122.397584,8344
1970828317,37.7378818,-122.4074882,8345
1975846054,37.7453346,-122.422095,8346
